game,home_team,fifth_player
200703300SAC,24,301
200702040CLE,4,456
200704180IND,10,434
200701240CHA,2,391
200703160NYK,19,412
200701200CHA,2,328
200702020PHI,21,450
200704160MEM,13,419
200611180DAL,5,296
200611200UTA,28,337
200703060SAC,24,398
200704100CHI,3,421
200611250WAS,29,197
200704090DEN,6,411
200701070POR,23,454
200612220NOK,18,437
200703280BOS,1,392
200703160MIA,14,189
200703090PHI,21,450
200611180MIL,15,411
200701030MIN,16,431
200611110GSW,8,434
200703210SEA,26,354
200701200GSW,8,409
200702090PHI,21,384
200611250NYK,19,410
200611060SAC,24,398
200611280NJN,17,365
200703310POR,23,430
200704080MIA,14,438
200701150GSW,8,434
200612270NYK,19,412
200611250CHA,2,360
200612080CHA,2,391
200612090NYK,19,342
200611220LAC,11,424
200612130MIA,14,367
200612130DAL,5,224
200702130MEM,13,379
200611280NJN,17,442
200612220POR,23,430
200701210PHO,22,413
200703280WAS,29,197
200612010PHO,22,413
200612010DAL,5,224
200701230CHI,3,421
200702230ORL,20,246
200701260PHI,21,415
200703240CHA,2,446
200701270CHI,3,329
200701180DAL,5,224
200704160DEN,6,451
200611240IND,10,385
200701060SAC,24,343
200701230ORL,20,429
200611220POR,23,430
200612130NYK,19,410
200703230LAC,11,453
200612230SEA,26,359
200702210LAL,12,404
200703240LAC,11,199
200703280NJN,17,442
200611170MIA,14,438
200612070DAL,5,224
200612170IND,10,409
200612060MIL,15,411
200701020SAC,24,398
200703280NJN,17,442
200611140MIA,14,438
200701310BOS,1,380
200611170CLE,4,386
200701270MEM,13,379
200703020MIA,14,397
200704160UTA,28,337
200612230MEM,13,379
200701200GSW,8,409
200703130MIN,16,366
200702270IND,10,434
200611070IND,10,409
200701250LAC,11,424
200702140PHI,21,384
200701230SEA,26,359
200702100HOU,9,347
200703300SAS,25,427
200702010MIA,14,438
200701260NOK,18,437
200701210PHO,22,390
200611060UTA,28,299
200701090NJN,17,365
200702090CHA,2,360
200612020HOU,9,395
200611210CLE,4,456
200703030ATL,0,455
200702200SAS,25,427
200611250WAS,29,161
200612270ATL,0,455
200701070PHO,22,413
200704110POR,23,345
200701090IND,10,409
200704100PHI,21,415
200612230PHI,21,253
200703180PHI,21,450
200612070DAL,5,224
200703040BOS,1,380
200701260ORL,20,185
200612110CHI,3,329
200703280BOS,1,349
200703110TOR,27,356
200703260MIA,14,438
200612220ATL,0,455
200612220BOS,1,392
200702130NJN,17,316
200611270MIA,14,438
200612310SEA,26,359
200703200DET,7,420
200701150PHI,21,450
200704060CHI,3,421
200701210PHI,21,415
200612200ATL,0,403
200701260NYK,19,322
200702210ATL,0,382
200612200BOS,1,425
200702250MIA,14,438
200703220PHO,22,280
200611010PHI,21,450
200703160MIA,14,438
200701070MEM,13,379
200702020ATL,0,435
200703140CHA,2,446
200704030SAS,25,292
200702110MIN,16,431
200702050SAC,24,309
200703160TOR,27,418
200703280CHA,2,293
200612180NYK,19,410
200703120GSW,8,409
200703220PHO,22,348
200612230MIA,14,438
200611220TOR,27,221
200702270MIN,16,431
200701200IND,10,434
200611130NYK,19,410
200704060DEN,6,411
200611150DET,7,420
200612040LAL,12,404
200612290NOK,18,437
200611010NJN,17,442
200612080DEN,6,451
200612130DAL,5,204
200612080CHI,3,329
200703260HOU,9,452
200702110GSW,8,409
200701310BOS,1,445
200701220CLE,4,388
200704180LAC,11,344
200702090TOR,27,320
200704060NYK,19,284
200612020NYK,19,412
200704080LAL,12,404
200701170TOR,27,320
200704180SAS,25,303
200611290LAC,11,424
200702040NJN,17,442
200704030LAL,12,394
200611280LAL,12,387
200612050PHO,22,348
200702210GSW,8,409
200701260ORL,20,234
200702060DET,7,420
200704110MIL,15,318
200612060LAL,12,404
200611220MIL,15,378
200612080MIN,16,366
200611300MIA,14,438
200703310NOK,18,357
200612020DEN,6,451
200612050LAC,11,424
200704040NJN,17,442
200704160SAC,24,398
200612290TOR,27,418
200701170SAS,25,427
200612030POR,23,430
200701120SEA,26,359
200701220CLE,4,386
200704130ATL,0,435
200611170CLE,4,386
200611150DET,7,420
200704150ORL,20,246
200611180ORL,20,432
200611210DAL,5,211
200703040SEA,26,359
200701310MEM,13,449
200612230IND,10,409
200612040NYK,19,412
200701060NOK,18,437
200612080DEN,6,451
200612310LAC,11,424
200611170DET,7,420
200612260DAL,5,164
200704070ORL,20,333
200702070BOS,1,380
200703310CHI,3,436
200703300PHI,21,384
200611060NYK,19,410
200612150LAL,12,297
200704050SAS,25,423
200611070CLE,4,259
200611180DAL,5,204
200702110PHO,22,401
200701290HOU,9,428
200701250LAC,11,424
200612130ORL,20,432
200704130CHI,3,436
200612080ORL,20,432
200611180MIL,15,411
200701190PHI,21,253
200611030GSW,8,434
200612030LAC,11,383
200611150SEA,26,359
200703090MIA,14,438
200702230MIN,16,431
200612050NJN,17,365
200703160LAL,12,404
200611180DEN,6,451
200703100IND,10,434
200612150CHI,3,436
200612160ORL,20,426
200612290HOU,9,428
200701270NOK,18,357
200702270CLE,4,456
200702110WAS,29,161
200611200NYK,19,412
200703130MIN,16,353
200701290DEN,6,411
200702020BOS,1,380
200703180DET,7,420
200612130ORL,20,426
200701140TOR,27,356
200702260HOU,9,395
200703060SAC,24,398
200702140GSW,8,409
200612160NJN,17,442
200612290POR,23,430
200612200ATL,0,403
200701070POR,23,454
200704180NJN,17,442
200612060DEN,6,451
200703160GSW,8,319
200702090TOR,27,320
200611040NYK,19,412
200704170WAS,29,197
200703130MIA,14,397
200702280HOU,9,347
200611010PHO,22,413
200703020NYK,19,410
200612220BOS,1,392
200701060CHI,3,329
200612090NYK,19,410
200612110LAC,11,453
200611240PHO,22,413
200703280CHA,2,360
200612010NOK,18,437
200701050SAS,25,427
200701100WAS,29,161
200702280SAC,24,398
200612270ATL,0,455
200703300SAS,25,423
200612060MIL,15,411
200612130IND,10,402
200703160DAL,5,211
200611010UTA,28,374
200701130UTA,28,337
200702030HOU,9,395
200612090CHI,3,272
200703090ATL,0,403
200611020LAC,11,424
200612290DET,7,420
200704040HOU,9,273
200704130MIN,16,353
200701230LAC,11,399
200703020WAS,29,161
200701100DET,7,420
200611120POR,23,454
200702120UTA,28,299
200701150WAS,29,161
200701210MIA,14,438
200612270MEM,13,419
200702090CLE,4,386
200702280DEN,6,411
200611020DAL,5,211
200612200SEA,26,354
200701260SEA,26,359
200701200NOK,18,437
200611010BOS,1,445
200703050MIA,14,189
200704010ATL,0,455
200702020BOS,1,445
200703250SEA,26,354
200702050PHI,21,415
200612090CHI,3,436
200704010MIL,15,378
200703090PHI,21,415
200701230LAC,11,424
200701030WAS,29,161
200612020CHI,3,436
200702130CHI,3,329
200611240PHI,21,450
200612150PHO,22,413
200702090GSW,8,319
200703130ATL,0,382
200611060ORL,20,426
200702200SEA,26,359
200701060GSW,8,319
200611240SEA,26,359
200702050HOU,9,395
200702200POR,23,454
200612130PHI,21,415
200704170PHI,21,450
200702260UTA,28,299
200612290MIA,14,438
200612220ATL,0,403
200612100LAL,12,271
200703160DAL,5,211
200701300IND,10,434
200703290POR,23,454
200611210NOK,18,357
200704070DAL,5,204
200701240TOR,27,320
200701160SEA,26,326
200701030POR,23,454
200703240LAC,11,424
200702040TOR,27,418
200701240GSW,8,319
200612300UTA,28,299
200611130NYK,19,412
200703040NOK,18,437
200612020MEM,13,417
200612040WAS,29,197
200702070DEN,6,411
200704090DEN,6,281
200611140DAL,5,204
200701260PHI,21,415
200703300CHA,2,446
200611120WAS,29,306
200701070ORL,20,185
200701200IND,10,288
200701260TOR,27,221
200704180MIN,16,431
200702230NYK,19,410
200611260TOR,27,356
200612210SAC,24,398
200704100MEM,13,419
200612220DEN,6,451
200701150ATL,0,290
200612310LAC,11,424
200611290BOS,1,445
200702200CHI,3,276
200703170MIL,15,378
200703200MEM,13,379
200702210IND,10,288
200703240UTA,28,337
200611080NJN,17,442
200611120WAS,29,370
200703010POR,23,454
200611060ORL,20,426
200703220HOU,9,452
200612050HOU,9,452
200611010MIN,16,433
200703040NOK,18,279
200703280WAS,29,161
200612200LAC,11,399
200703100CHA,2,391
200702140DET,7,364
200612200POR,23,430
200702070WAS,29,161
200612310LAC,11,424
200703310POR,23,430
200612170LAL,12,444
200611240PHI,21,450
200703260HOU,9,428
200701250CHI,3,436
200611140ATL,0,435
200611260SEA,26,359
200612200SAS,25,427
200612150IND,10,409
200611030SAS,25,427
200701280DET,7,420
200612080DEN,6,451
200612040WAS,29,161
200701100DEN,6,451
200701200IND,10,310
200701130PHO,22,401
200704040NJN,17,442
200702100NJN,17,442
200704090SEA,26,354
200701050WAS,29,161
200701230WAS,29,370
200611040HOU,9,452
200703170IND,10,434
200704150IND,10,434
200701190NYK,19,342
200612080MIL,15,378
200703200UTA,28,374
200701120POR,23,454
200612280SAS,25,303
200612200NJN,17,442
200701130MIN,16,431
200701240POR,23,454
200611080ORL,20,426
200704110MIL,15,378
200702260SEA,26,359
200611150NYK,19,362
200701150DET,7,373
200612220DAL,5,224
200612180DEN,6,451
200612080SEA,26,307
200701130MIN,16,431
200703230ORL,20,432
200701120PHI,21,369
200611280NJN,17,442
200703120GSW,8,319
200611180DEN,6,281
200611260SEA,26,359
200612300MEM,13,379
200612300CHI,3,329
200612110PHI,21,450
200611020LAC,11,383
200612050DET,7,420
200612160ATL,0,406
200611210PHI,21,450
200611240SEA,26,359
200702130CHI,3,436
200611170SEA,26,359
200703230SAS,25,427
200612150MEM,13,313
200611070MIA,14,447
200612290CHA,2,360
200701030MIA,14,438
200703230PHI,21,450
200703140ORL,20,426
200702010PHO,22,401
200704150ORL,20,432
200612220PHO,22,413
200703220PHO,22,413
200703210SAS,25,303
200702260SAS,25,427
200703140DAL,5,211
200703200PHO,22,413
200704130SAC,24,343
200612060CHA,2,391
200703070ATL,0,455
200611210DEN,6,361
200703280LAC,11,424
200612130IND,10,402
200701170SAS,25,427
200703040MIL,15,378
200612290GSW,8,310
200701230ORL,20,426
200702250MIN,16,431
200704150WAS,29,370
200612110CHI,3,272
200702140MIN,16,431
200701090UTA,28,299
200611280NOK,18,437
200701310ATL,0,290
200703080ORL,20,246
200701160DAL,5,224
200704100WAS,29,197
200611070MEM,13,313
200611250SAC,24,301
200611150NJN,17,442
200611280WAS,29,197
200611280NJN,17,442
200701290UTA,28,374
200704080MIA,14,438
200612030LAC,11,424
200611220DET,7,420
200703110POR,23,454
200612130PHI,21,384
200701240UTA,28,299
200612160SAC,24,375
200704180NJN,17,442
200703310POR,23,430
200703280TOR,27,418
200612110NJN,17,365
200703260HOU,9,452
200702060NYK,19,410
200701010POR,23,430
200701120NYK,19,410
200704100ATL,0,455
200611040HOU,9,452
200701130MIN,16,431
200611160GSW,8,308
200704140HOU,9,428
200612020HOU,9,452
200704180BOS,1,392
200612270MEM,13,335
200701020DAL,5,204
200611140MIA,14,438
200612070DAL,5,224
200703020DEN,6,411
200704040NOK,18,279
200612060NYK,19,362
200612200MIN,16,366
200611220MIN,16,431
200701100MIN,16,431
200612110ORL,20,426
200612140NOK,18,357
200611100IND,10,409
200611050SEA,26,359
200702130MIA,14,189
200611010UTA,28,374
200704120CLE,4,456
200701080DEN,6,361
200702280MEM,13,379
200701030TOR,27,320
200701130CHA,2,360
200704120LAL,12,404
200702260SEA,26,359
200612260DEN,6,451
200612080DEN,6,451
200701280BOS,1,380
200703040WAS,29,370
200704010SEA,26,354
200704090DEN,6,325
200702140ORL,20,234
200703250NOK,18,437
200612180SAC,24,398
200612200MIL,15,318
200703020PHO,22,413
200704030CHA,2,293
200703300SAC,24,242
200702130LAL,12,376
200701260ORL,20,234
200703170DEN,6,411
200703100MIL,15,378
200702090GSW,8,409
200611100NJN,17,365
200701050SAS,25,427
200611240SEA,26,359
200701220SAC,24,309
200703290POR,23,454
200612110PHI,21,450
200704110PHO,22,413
200701220UTA,28,337
200704030MEM,13,419
200702030SAC,24,398
200702270MIN,16,431
200612160CHA,2,360
200702270NJN,17,283
200611010UTA,28,299
200704160UTA,28,337
200703260DET,7,373
200704090MIL,15,378
200611140GSW,8,310
200702130MIL,15,151
200702020CLE,4,386
200703250MIN,16,366
200703150NJN,17,442
200703270LAL,12,394
200612270POR,23,430
200702260SAS,25,427
200612170TOR,27,418
200702020ATL,0,455
200704140MIL,15,378
200703140POR,23,430
200703090HOU,9,428
200612040CHI,3,272
200612150PHO,22,413
200703090MIA,14,438
200704110BOS,1,392
200703040BOS,1,380
200701040NOK,18,437
200701030HOU,9,395
200612150IND,10,385
200703230SAS,25,427
200701120PHI,21,369
200703160CHA,2,446
200701240BOS,1,238
200703090DEN,6,411
200611210IND,10,409
200702050SAC,24,398
200612300ORL,20,432
200701190NYK,19,410
200611180MIL,15,378
200702240MIL,15,318
200612200ATL,0,455
200703240LAC,11,424
200612130MEM,13,417
200702130HOU,9,428
200611100PHI,21,384
200703170ORL,20,426
200612110UTA,28,374
200704130TOR,27,250
200701270LAC,11,424
200704070MIL,15,318
200611080NJN,17,442
200701300CLE,4,386
200702090PHI,21,384
200612200NJN,17,442
200701070ORL,20,426
200612180SAC,24,398
200612150LAL,12,297
200702090DAL,5,224
200611290ATL,0,405
200702030WAS,29,153
200611290PHO,22,348
200701050MIL,15,378
200703160LAL,12,387
200703060POR,23,430
200611060NYK,19,410
200701090MEM,13,419
200703250MIL,15,318
200611220PHO,22,348
200611290CLE,4,456
200612260SEA,26,359
200612160NOK,18,437
200703270LAL,12,394
200611250MIL,15,318
200701130SAC,24,309
200702120DEN,6,411
200702260HOU,9,395
200701280SEA,26,315
200703200CHA,2,446
200612110UTA,28,295
200701150PHI,21,415
200611150BOS,1,445
200611180NJN,17,324
200702070TOR,27,418
200702140DET,7,420
200611150DET,7,420
200612300ORL,20,432
200611220HOU,9,440
200612100SEA,26,354
200702100NOK,18,437
200611060SAC,24,309
200702280DEN,6,411
200703100UTA,28,299
200612300ORL,20,432
200704050CLE,4,456
200703230IND,10,310
200703300CHA,2,446
200703200UTA,28,299
200611290DAL,5,224
200702240DAL,5,224
200703210MIL,15,378
200612160SAC,24,398
200704030MEM,13,417
200702070PHI,21,415
200702100UTA,28,337
200612270SAC,24,343
200612290HOU,9,428
200611110CLE,4,386
200701050PHO,22,401
200611280CHI,3,247
200702100SEA,26,359
200701240TOR,27,356
200703300ORL,20,432
200701240POR,23,454
200704160MEM,13,379
200701070MEM,13,379
200704170PHI,21,450
200702060NYK,19,362
200701240UTA,28,299
200701170CHA,2,360
200703200HOU,9,452
200704150IND,10,434
200701020CHI,3,436
200611010PHI,21,450
200611060UTA,28,374
200611240DET,7,373
200703200HOU,9,452
200701280CLE,4,259
200612050PHO,22,413
